section,emo_clause_index,cau_candidate_index,emotion_clause,cause_candidate,conn_words,possibility_distribution,correctness,cause_conn_possibility,contrast_conn_possibility,conjunction_conn_possibility,condition_conn_possibility,restatement_conn_possibility
1,7,1,激动地对中新网记者说,当我看到建议被采纳,"['便', '因', '故', '由', '却', '但', '虽', '而', '与', '则', '就', '或', '苟', '若', '当', '如', '唯', '必', '总', '更']","[1.73378036e-03 3.25921510e-03 2.63970048e-04 4.70583099e-04
 2.03665207e-03 7.48982810e-01 4.19505844e-04 1.79004869e-01
 4.42408996e-04 8.62945754e-04 4.62185158e-02 2.05414828e-03
 1.49681435e-06 4.73067928e-04 8.67029937e-03 2.98407734e-03
 1.00799092e-03 2.55726635e-04 1.59564665e-04 6.98371399e-04]",False,0.0057275486103876986,0.9304438375191028,0.04957801880883246,0.012128941445902855,0.002121653615774141
1,7,2,激动地对中新网记者说,部委领导写给我的回信时,"['便', '因', '故', '由', '却', '但', '虽', '而', '与', '则', '就', '或', '苟', '若', '当', '如', '唯', '必', '总', '更']","[1.61483367e-03 1.49488901e-02 2.96464503e-03 1.86150741e-01
 8.29043328e-04 9.84502607e-02 4.54016710e-04 6.87042265e-02
 2.19998756e-02 2.05604050e-03 8.86099675e-02 2.75336647e-02
 2.50717527e-05 1.74907807e-03 2.37354977e-01 5.58128767e-02
 1.10246812e-03 1.31305684e-03 1.82016835e-01 6.30943133e-03]",False,0.20567910998694933,0.16843754725267682,0.14019954827341677,0.294942003264507,0.19074179122244994
1,7,3,激动地对中新网记者说,我知道我正在为这个国家的发展尽着一份力量,"['便', '因', '故', '由', '却', '但', '虽', '而', '与', '则', '就', '或', '苟', '若', '当', '如', '唯', '必', '总', '更']","[2.10833643e-05 7.21793647e-04 7.11775764e-05 1.33186950e-04
 2.74649840e-04 9.17354573e-01 4.38805373e-05 7.85230206e-02
 1.18040936e-04 4.40687104e-05 4.25348064e-04 4.69870026e-05
 2.07306801e-06 9.79537715e-05 1.76724818e-03 1.30499416e-04
 1.32315366e-04 1.79139534e-05 2.76361298e-05 4.65500295e-05]",False,0.0009472415376115731,0.9961961238337553,0.0006344447139915637,0.0019977744363083886,0.0002244154783332846
1,7,4,激动地对中新网记者说,27日,"['便', '因', '故', '由', '却', '但', '虽', '而', '与', '则', '就', '或', '苟', '若', '当', '如', '唯', '必', '总', '更']","[0.00262837 0.06009161 0.00964849 0.02551578 0.00090001 0.20146604
 0.00461311 0.1580211  0.22827449 0.00346201 0.02386029 0.10089204
 0.00046393 0.0104166  0.01804526 0.12540714 0.00482308 0.00144177
 0.00769146 0.01233742]",False,0.09788424717207099,0.36500026195004776,0.3564888337234572,0.15433292085019915,0.026293736304224737
1,7,5,激动地对中新网记者说,河北省邢台钢铁有限公司的普通工人白金跃,"['便', '因', '故', '由', '却', '但', '虽', '而', '与', '则', '就', '或', '苟', '若', '当', '如', '唯', '必', '总', '更']","[6.27200821e-04 2.04945571e-02 2.96154653e-02 5.98752268e-02
 6.85826629e-04 6.59286110e-02 4.35867181e-04 5.30589337e-01
 6.46971976e-02 1.46276174e-03 3.39931619e-02 5.04674880e-03
 3.03811727e-06 7.72929877e-04 4.47456617e-02 1.32356823e-01
 1.15802142e-03 5.52890388e-05 5.90948247e-03 1.54679195e-03]",False,0.11061245004222306,0.5976396418556419,0.10519987010370836,0.17787845311898276,0.008669584879444286
1,7,6,激动地对中新网记者说,拿着历年来国家各部委反馈给他的感谢信,"['便', '因', '故', '由', '却', '但', '虽', '而', '与', '则', '就', '或', '苟', '若', '当', '如', '唯', '必', '总', '更']","[8.42839613e-02 9.31109574e-03 1.43335217e-03 7.04306650e-03
 9.48313968e-02 1.78181817e-01 1.86824574e-03 8.98612720e-02
 1.12380160e-03 1.75019274e-02 3.61702934e-01 1.36195674e-02
 6.25418638e-05 2.79852751e-03 1.24988192e-02 1.10716162e-02
 7.89823986e-04 2.39774514e-03 4.67164814e-02 6.29020078e-02]",False,0.10207147570209801,0.3647427310924364,0.39394823013386415,0.026431504787391348,0.11280605828420993
1,7,8,激动地对中新网记者说,27年来,"['便', '因', '故', '由', '却', '但', '虽', '而', '与', '则', '就', '或', '苟', '若', '当', '如', '唯', '必', '总', '更']","[6.89704384e-04 5.30834218e-03 2.86222766e-03 7.29271233e-03
 1.13716655e-03 5.58477001e-01 3.72721459e-03 3.39598177e-01
 1.39937773e-02 1.95199626e-03 8.57701136e-03 5.82970500e-03
 1.22404887e-05 1.05189286e-02 2.04086395e-02 1.50996940e-02
 7.80573265e-04 9.09356514e-05 2.57172588e-03 1.07222790e-03]",False,0.01615298655384522,0.9029395582975558,0.030352489914211644,0.04603950254167127,0.00451546269271608
1,7,9,激动地对中新网记者说,国家公安部国家工商总局国家科学技术委员会科技部卫生部国家发展改革委员会等部委均接受并采纳过的我的建议,"['便', '因', '故', '由', '却', '但', '虽', '而', '与', '则', '就', '或', '苟', '若', '当', '如', '唯', '必', '总', '更']","[7.91942462e-04 2.55199384e-02 3.80628816e-03 1.62318982e-01
 2.03898439e-04 2.58702167e-01 1.73573589e-03 2.79210420e-01
 4.80072600e-02 1.23204917e-03 1.46718023e-02 5.16803155e-03
 2.32314237e-06 1.67701754e-03 1.82965512e-02 1.66048901e-01
 9.93926500e-04 1.92643350e-04 1.04455765e-02 9.74545605e-04]",True,0.19243715080634596,0.5398522213701027,0.0690791430231715,0.1860247928744652,0.012606691925914513
1,7,7,激动地对中新网记者说,激动地对中新网记者说,"['便', '因', '故', '由', '却', '但', '虽', '而', '与', '则', '就', '或', '苟', '若', '当', '如', '唯', '必', '总', '更']","[5.28791422e-03 5.80917201e-03 9.72858309e-04 1.88121769e-03
 7.54135749e-03 9.67799343e-02 1.43542289e-03 3.93697207e-02
 1.15631797e-03 2.74337104e-03 2.44076059e-02 6.06446964e-03
 5.46115256e-04 9.23827806e-04 2.11018510e-02 4.11396873e-03
 8.34178923e-04 4.83916787e-04 3.23444150e-03 7.75312338e-01]",False,0.013951162237325138,0.14512643530956812,0.034371764586018844,0.026685762839036162,0.7798648750280517
2,9,1,并略显激动,据白金跃介绍,"['便', '因', '故', '由', '却', '但', '虽', '而', '与', '则', '就', '或', '苟', '若', '当', '如', '唯', '必', '总', '更']","[9.60081303e-05 5.94121061e-03 9.72856090e-04 9.15008202e-04
 4.04645833e-04 4.33858419e-01 5.89285648e-04 5.41630950e-01
 1.06846371e-03 7.31282452e-04 1.67136995e-03 2.01609448e-03
 1.46527460e-06 2.13186044e-04 5.78291528e-04 1.99075909e-03
 5.20857021e-03 2.52648491e-05 2.50748140e-04 1.83612007e-03]",False,0.007925083029172135,0.9764833011845089,0.005487210587330564,0.0027837019332461297,0.0073207032657422524
